Cedula,Nombre,Rol,FechaNacimiento
10000,gGAgFisL,Estudiante,15/1/1978
10001,mHZagfvA,Profesor,7/10/1968
10002,CRtNaSkp,Profesor,12/8/1985
10003,xlxEZxNE,Estudiante,13/9/1972
10004,gzhLmtqr,Estudiante,15/8/1952
10005,LiNtEcpH,Estudiante,26/4/1974
10006,SjtxjDqw,Estudiante,16/5/1971
10007,LEFTfTzk,Profesor,20/9/1982
10008,QuerSvYE,Estudiante,15/11/1979
10009,eYRGtRkj,Estudiante,28/1/1977
100010,CcXcISgj,Estudiante,7/6/1959
100011,gjCcJzRH,Profesor,2/10/1985
100012,gkzFhIZD,Profesor,17/7/1952
100013,zZYrfUda,Estudiante,17/1/1957
100014,SIKDjuBW,Profesor,26/9/1965
100015,hKwIRTdA,Estudiante,11/10/1963
100016,CCoJooVW,Profesor,21/2/1968
100017,amcvPUaq,Estudiante,17/11/1974
100018,RngWKapW,Profesor,11/7/1961
100019,QoEBnHAO,Estudiante,4/11/1967
100020,eEUGmRCx,Estudiante,17/5/1974
100021,roIsNxRc,Profesor,27/6/1978
100022,oqXqZflW,Profesor,9/7/1953
100023,vzBucalB,Estudiante,25/6/1964
100024,MjhzSfjn,Estudiante,7/2/1996
100025,jKWohbGw,Profesor,21/10/1953
100026,cqEiJKSx,Estudiante,7/7/1978
100027,tEFfKmzG,Profesor,27/3/1980
100028,kFbnZMxc,Profesor,11/8/1997
100029,mSbUtSzu,Profesor,18/11/1950
100030,bitLyQPV,Profesor,8/2/1996
100031,sFTSgMSR,Estudiante,11/1/1962
100032,jSqJVYjU,Estudiante,9/6/1981
100033,gYyxkUjg,Estudiante,11/7/1989
100034,rVSOAbks,Profesor,1/11/1984
100035,RKiKcgRK,Estudiante,27/6/1962
100036,qXpkAibB,Profesor,4/6/1951
100037,nuNSIKfm,Estudiante,20/5/1955
100038,atMpOYtM,Profesor,28/7/1962
100039,OsEBcVik,Profesor,18/9/1966
100040,WTxVLocI,Estudiante,19/3/1962
100041,MNZMSfjj,Profesor,9/2/1957
100042,rosNfTbB,Profesor,7/5/2000
100043,hArTWlds,Estudiante,15/6/1959
100044,bnOVWBPZ,Estudiante,26/3/1951
100045,TaflYisb,Estudiante,2/3/1992
100046,rUrhCPxi,Profesor,17/8/1974
100047,KNdJYOau,Profesor,1/8/1973
100048,wRQXHcuw,Profesor,20/8/1993
100049,HMCgFioq,Profesor,10/7/1981
100050,OaQyMtKg,Profesor,11/5/1954
100051,wPSSQrMp,Estudiante,1/11/1965
100052,JgjVxGwh,Estudiante,10/10/1950
100053,XeFyocgF,Profesor,1/4/1981
100054,jknFIkWB,Estudiante,8/6/2000
100055,cwiMnOXD,Estudiante,13/9/1980
100056,DPwDOMhN,Profesor,24/6/1966
100057,pUSjTViX,Profesor,1/6/1991
100058,fvXmvrhF,Profesor,7/9/2000
100059,wbqXzlqy,Estudiante,3/6/1969
100060,tAsOQECR,Estudiante,21/2/1959
100061,ttGWORbM,Profesor,3/11/1988
100062,cqgShGSR,Profesor,6/7/1954
100063,dzluQfEv,Profesor,9/5/1970
100064,QEhFxTgf,Profesor,7/8/1989
100065,cQWIubce,Estudiante,25/1/1958
100066,wYaOWJZU,Estudiante,14/6/1964
100067,jhEkjzeQ,Profesor,5/10/1989
100068,pdnhOagd,Profesor,25/8/1962
100069,sWWyYzNd,Profesor,26/11/1986
100070,PRqVzgYR,Estudiante,27/7/1957
100071,iPKXvPBk,Profesor,23/6/1955
100072,KqcXgJZT,Estudiante,10/3/1975
100073,qoiMWAHI,Profesor,8/3/1979
100074,keVJNZum,Profesor,20/1/1988
100075,zPAxOvTH,Profesor,5/5/1966
100076,tVTRrfTK,Estudiante,19/3/1978
100077,DSqqoRZL,Estudiante,13/2/1964
100078,dMsKcrvU,Estudiante,4/1/1990
100079,rEHvpjUS,Profesor,28/10/1952
100080,trsNoPOI,Profesor,1/3/1988
100081,fXHQBvOg,Profesor,8/2/1976
100082,YkClZPJJ,Estudiante,22/9/1990
100083,TgsixBav,Estudiante,14/8/1960
100084,ewUIYOFl,Profesor,24/3/1976
100085,exUFedWr,Profesor,1/4/1987
100086,CojmJHiN,Profesor,11/8/1952
100087,vqXvuERx,Profesor,19/5/1974
100088,SxpxPwVG,Profesor,20/2/1977
100089,xPHtGlmH,Profesor,11/11/1962
100090,gPagHqeU,Estudiante,20/2/1968
100091,YnRjSnkm,Estudiante,4/1/1974
100092,iFKiJDFv,Estudiante,18/6/1998
100093,clbFarIC,Profesor,18/5/1953
100094,dZXKVRjk,Profesor,3/4/1964
100095,ylJzencf,Estudiante,9/9/1993
100096,xaTlhEnR,Profesor,7/7/1972
100097,bYlihAsM,Profesor,6/5/1986
100098,dICyksQp,Estudiante,21/4/1985
100099,NlCOaguA,Estudiante,21/5/1985
1000100,XaRTnxrB,Profesor,15/1/1974
1000101,otPTnprQ,Profesor,17/5/1990
1000102,xxhIaKCk,Estudiante,18/8/1984
1000103,HQmTZYVL,Profesor,20/1/1984
1000104,KqWQANWx,Estudiante,13/6/1995
1000105,XucKlHGx,Estudiante,24/11/1956
1000106,VKKxqWva,Estudiante,7/10/1984
1000107,DCLPvywI,Estudiante,15/11/1985
1000108,tIoxrqER,Profesor,5/2/2000
1000109,nMwclRiL,Profesor,12/1/1985
1000110,AEBLMnCw,Estudiante,14/11/1976
1000111,vYsTJrtQ,Estudiante,6/11/1982
1000112,UaYxZOjF,Profesor,1/2/1999
1000113,fLgRyODS,Estudiante,13/3/1994
1000114,KaEhDDQm,Profesor,1/2/1960
1000115,tTiSIqzm,Profesor,23/1/1961
1000116,LOWTPIPX,Profesor,12/5/1955
1000117,cNWfYuZk,Profesor,1/1/1994
1000118,kZZJIMjx,Profesor,27/2/1983
1000119,jOaXnnJK,Estudiante,28/11/1989
1000120,tvFSJaLY,Estudiante,23/5/1974
1000121,TATCTlYL,Profesor,16/8/1956
1000122,OpHQqmHl,Estudiante,25/8/1954
1000123,QxwEweyu,Estudiante,8/3/1960
1000124,HFJjNheP,Profesor,24/2/1954
1000125,bMUnNabe,Profesor,22/2/1987
1000126,abLjlzlA,Profesor,1/4/1963
1000127,hpgNjjDW,Profesor,20/7/1965
1000128,xJqVNbCP,Profesor,6/7/1971
1000129,EGYMVsex,Estudiante,14/10/1995
1000130,VSixWWcU,Profesor,20/7/1997
1000131,vOwefWaz,Estudiante,10/6/1986
1000132,eVcFmxRq,Profesor,9/2/1971
1000133,qYCldGrj,Estudiante,27/10/1974
1000134,amFkxUKW,Estudiante,14/3/1964
1000135,XWduaCew,Profesor,7/1/1977
1000136,RaMwBdUG,Profesor,15/1/1966
1000137,SPXuawRb,Profesor,27/6/1978
1000138,EVafqyzN,Estudiante,2/8/1997
1000139,stfpxvUv,Profesor,10/6/1961
1000140,pzNdUZMF,Profesor,27/1/1988
1000141,vAVksCxJ,Profesor,8/1/1972
1000142,zrjDytLL,Estudiante,18/10/1959
1000143,mJWcKWHw,Estudiante,3/8/1999
1000144,jKnTuzXs,Profesor,6/10/1998
1000145,qLhfFKBl,Estudiante,23/4/1985
1000146,RUrHlJFP,Estudiante,18/11/1978
1000147,RuItTmGD,Estudiante,10/5/1955
1000148,lPYvDwRM,Profesor,4/9/1980
1000149,BQVIuLht,Estudiante,22/1/1987
1000150,VcUIHrZI,Profesor,17/10/1982
1000151,NqWGZPzY,Estudiante,20/6/1978
1000152,MaquZjTF,Estudiante,3/10/1965
1000153,iJFfzXfS,Estudiante,15/9/1964
